Original,Human-readable,topic_2_environmental_regulation,topic_4_customer_orientation,topic_6_shareholder_affiliation,topic_8_hiring_employees,topic_9_natural_disaster,topic_11_litigation,topic_12_carbon_emissions,topic_13_labor_issues,topic_14_supply_chain_problems,topic_15_taxes,is_overlap
econ_worldcurrencies_euro,world currencies euro,,,,,,,,,,,
econ_worldcurrencies_euros,world currencies euros,,,,,,,,,,,
econ_worldcurrencies_franc,world currencies franc,,,,,,,,,,,
econ_worldcurrencies_francs,world currencies francs,,,,,,,,,,,
econ_worldcurrencies_hryvnia,world currencies hr yv nia,,,,,,,,,,,
econ_worldcurrencies_japanese_yen,yen,,,,,,,,,,,
econ_worldcurrencies_peso,world currencies peso,,,,,,,,,,,
econ_worldcurrencies_pesos,world currencies pesos,,,,,,,,,,,
econ_worldcurrencies_roubles,world currencies roubles,,,,,,,,,,,
econ_worldcurrencies_ruble,world currencies ruble,,,,,,,,,,,
econ_worldcurrencies_rubles,world currencies rubles,,,,,,,,,,,
econ_worldcurrencies_swiss_franc,franc,,,,,,,,,,,
econ_worldcurrencies_swiss_francs,francs,,,,,,,,,,,
econ_worldcurrencies_the_rupee,world currencies rupee,,,,,,,,,,,
econ_worldcurrencies_united_states_dollar,states dollar,,,,,,,,,,,
econ_worldcurrencies_us_dollar,world currencies dollar,,,,,,,,,,,
econ_worldcurrencies_us_dollars,world currencies dollars,,,,,,,,,,,
econ_worldcurrencies_yen,world currencies yen,,,,,,,,,,,
econ_worldcurrencies_yuan,world currencies yuan,,,,,,,,,,,
education,education,,,,,,,,,,,
election,election,,,1,,,,,,,,
election_fraud,fraud,,,,,,,,,,,
emerg_emergshelter,emer g shelter,,,,,,,,,,,
emerg_fieldhospital,field hospital,,,,,,,,,,,
emerg_suspiciouspackage,suspicious package,,,,,,,,,,,
env_biofuel,bio fuel,,,,,,,1,,,,
env_climatechange,climate change,1,,,,1,,1,,,,
env_coal,coal,1,,,,,,1,,,,
env_deforestation,deforestation,1,,,,,,,,,,
env_fishery,fishery,,,,,,,,,,,
env_forestry,forestry,1,,,,,,,,,,
env_geothermal,geothermal,1,,,,,,1,,,,
env_green,green,1,,,,,,,,,,
env_hydro,hydro,1,,,,1,,,,,,
env_metals,metals,1,,,,,,,,,,
env_mining,mining,1,,,,,,,,,,
env_naturalgas,natural gas,,,,,,,1,,,,
env_nuclearpower,nuclear power,,,,,,,1,,,,
env_oil,oil,1,,,,,,1,,,,
env_overfish,overfish,,,,,,,,,,,
env_poaching,poaching,,,,,,,,,,,
env_solar,solar,1,,,,,,,,,,
env_speciesendangered,species endangered,,,,,,,,,,,
env_waterways,waterways,,,,,,,,,,,
env_windpower,wind power,,,,,,,,,,,
epu_cats_debt_ceiling_gov_shutdown,ceiling gov shutdown,,,,,,,,,,,
epu_cats_entitlement_programs,programs,1,,,,,,,,,,
epu_cats_financial_regulation,regulation,1,,,,,1,,,,,
epu_cats_fiscal_policy,cats fiscal,,,,,,,,,,,
epu_cats_healthcare,cats healthcare,,,,,,,,,,,
epu_cats_migration_fear_fear,fear fear,,,,,,,,,,,
epu_cats_migration_fear_migration,fear migration,,,,,,,,,,,
epu_cats_monetary_policy,cats monetary,,,,,,,,,,,
epu_cats_national_security,security,,,,,,,,,,,
epu_cats_regulation,cats regulation,,,,,,,,,,,
epu_cats_sovereign_debt_currency_crises,debt currency crises,,,,,,,,,,,
epu_cats_taxes,cats taxes,,,,,,,,,,1,
epu_cats_trade_policy,cat strade,,,,,,,,,,,
epu_economy,economy,,,,,,,,,,,
epu_economy_historic,economy historic,,,,,,,,,,,
epu_policy,policy,1,,,,,,,,,,
epu_policy_authorities,authorities,1,,,,,,,,,,
epu_policy_bank_of_japan,bank japan,,,,,,,,,,,
epu_policy_blue_house,blue house,,,,,,,,,,,
epu_policy_budget,budget,,,,,,,,,,,
epu_policy_central_bank,central bank,,,,,,,,,,,
epu_policy_congress,congress,,,,,,,,,,,
epu_policy_congressional,congressional,,,,,,,,,,,
epu_policy_deficit,deficit,,,,,,,,,,,
epu_policy_duma,duma,,,,,,,,,,,
epu_policy_federal_reserve,federal reserve,,,,,,,,,,,
epu_policy_fiscal_policy,fiscal,,,,,,,,,,,
epu_policy_government,government,1,,,,,,,,,,
epu_policy_interest_rate,interest rate,,,,,,,,,,,
epu_policy_interest_rates,interest rates,,,,,,,,,,,
epu_policy_law,law,1,,,,,,,,,,
epu_policy_lawmakers,lawmakers,1,,,,,,,,,,
epu_policy_legislation,legislation,1,,,,,,,,,,
epu_policy_ministry_of_finance,ministry finance,,,,,,,,,,,
epu_policy_monetary_policy,monetary,,,,,,,,,,,
epu_policy_policy,policy policy,1,,,,,,,,,,
epu_policy_policymakers,policymaker s,1,,,,,,,,,,
epu_policy_political,policy political,1,,,,,,,,,,
epu_policy_public_investment,public investment,,,,,,,,,,,
epu_policy_reform,reform,,,,,,,,,,,
epu_policy_regulation,regulation,1,,,,,,,,,,
epu_policy_regulatory,regulatory,1,,,,,,,,,,
epu_policy_spending,spending,,,,,,,,,,,
epu_policy_tax,tax,,,,,,,,,,1,
epu_policy_white_house,whitehouse,,,,,,,,,,,
epu_policy_world_trade_organization,organization,,,,,,,,,,,
epu_uncertainty,uncertainty,,,,,,,,,,,
eth_indiginous,indi gin ous,,,,,,,,,,,
evacuation,evacuation,,,,,,,,,,,
exhumation,exhumation,,,,,,,,,,,
exile,exile,,,,,,,,,,,
extremism,extremism,,,,,,,,,,,
firearm_ownership,ownership,,,1,,,,,,,,
food_security,security,,,,,,,,,,,
food_staple,staple,,,,,,,,,,,
freespeech,free speech,,,,,,,,,,,
fuelprices,fuel prices,,,,,,,,,,,
gen_holiday,holiday,,,,,,,,,,,
gender_violence,violence,,,,,,,,,,,
general_government,government,1,,,,,,,,,,
general_health,health,,,,,,,,,,,
general_public_opinion,public opinion,,,,,,1,,,,,
gentrification,gentrification,,,,,,,,,,,
gov_dissolvegov,dissolve gov,,,,,,,,,,,
gov_foia,foia,,,,,,,,,,,
gov_intergovernmental,intergovernmental,1,,,,,,,,,,
gov_localgov,local gov,1,,,,,,,,,,
gov_reform,reform,,,,,,,,,,,
gov_repatriation,repatriation,,,,,,,,,,,
gov_wiretapping,wiretapping,,,,,,,,,,,
grievances,grievances,,,,,,,,,,,
harassment,harassment,,,,,,,,,,,
hate_speech,speech,,,,,,,,,,,
health_pandemic,pandemic,,,,,1,,,,,,
health_sextransdisease,sex trans disease,,,,,,,,,,,
health_vaccination,vaccination,,,,,,,,,,,
human_rights_abuses,rights abuses,,,,,,,,,,,
human_rights_abuses_beatings,beatings,,,,,,,,,,,
human_rights_abuses_concentration_camp,concentration camp,,,,,,,,,,,
human_rights_abuses_concentration_camps,concentration camps,,,,,,,,,,,
human_rights_abuses_extrajudicial,extrajudicial,,,,,,,,,,,
human_rights_abuses_human_rights_abuses,human rights abuses,,,,,,,,,,,
human_rights_abuses_mass_graves,mass graves,,,,,,,,,,,
human_rights_abuses_police_brutality,police brutality,,,,,,,,,,,
human_rights_abuses_torture,torture,,,,,,,,,,,
human_rights_abuses_tortured,tortured,,,,,,,,,,,
human_rights_abuses_torturing,torturing,,,,,,,,,,,
human_trafficking,trafficking,,,,,,,,,,,
ideology,ideology,,,,,,,,,,,
immigration,immigration,,,,,,,,,,,
impeachment,impeachment,,,,,,,,,,,
income_inequality,inequality,,,,,,,,,,,
inequality,inequality,,,,,,,,,,,
info_hoax,hoax,,,,,,,,,,,
info_rumor,rumor,,,,,,,,,,,
infrastructure_bad_roads,bad roads,,,,,,,,,,,
insurgency,insurgency,,,,,,,,,,,
internet_censorship,censorship,,,,,,,,,,,
jihad,jihad,,,,,,,,,,,
justice,justice,,,,,,,,,,,
kidnap,kidnap,,,,,,,,,,,
kill,kill,,,,,,,,,,,
landmine,land mine,,,,,,,,,,,
leader,leader,,,1,,,,,,,,
leg_constitutionalamendment,constitutional amendment,,,,,,,,,,,
legalize,legalize,,,,,,,,,,,
legislation,legislation,,,,,,,,,,,
lgbt,lgb t,,,,,,,,,,,
literacy,literacy,,,,,,,,,,,
manmade_disaster,disaster,,,,,1,,,,,,
manmade_disaster_aground,aground,,,,,,,,,,,
manmade_disaster_car_accident,car accident,,,,,,,,,,,
manmade_disaster_car_crash,car crash,,,,,,,,,,,
manmade_disaster_deadly_accident,deadly accident,,,,,,,,,,,
manmade_disaster_derailed,derailed,,,,,,,,,,,
manmade_disaster_derailment,derailment,,,,,,,,,,,
manmade_disaster_emergency_landing,emergency landing,,,,,,,,,,,
manmade_disaster_fire_truck,fire truck,,,,,,,,,,,
manmade_disaster_fire_trucks,fire trucks,,,,,,,,,,,
manmade_disaster_gas_explosion,gas explosion,,,,,,,,,,,
manmade_disaster_helicopter_crash,helicopter crash,,,,,,,,,,,
manmade_disaster_house_fire,house fire,,,,,,,,,,,
manmade_disaster_implied,implied,,,,,,,,,,,
manmade_disaster_oil_spill,oil spill,,,,,,,,,,,
manmade_disaster_plane_crash,plane crash,,,,,,,,,,,
manmade_disaster_power_failure,power failure,,,,,,,,,1,,
manmade_disaster_power_outage,power outage,,,,,,,,,1,,
manmade_disaster_power_outages,power outages,,,,,,,,,1,,
manmade_disaster_radioactive,radioactive,,,,,,,,,,,
manmade_disaster_restore_power,restore power,,,,,,,,,1,,
manmade_disaster_road_accident,road accident,,,,,,,,,,,
manmade_disaster_suspicious_package,suspicious package,,,,,,,,,,,
manmade_disaster_traffic_accident,traffic accident,,,,,,,,,,,
manmade_disaster_vehicle_crash,vehicle crash,,,,,,,,,,,
manmade_disaster_without_electricity,electricity,,,,,,,,,1,,
manmade_disaster_without_power,power,,,,,,,,,1,,
maritime,maritime,,,,,,,,,,,
maritime_incident,incident,,,,,,,,,,,
maritime_incident_self_identified,identified,,,,,,,,,,,
maritime_piracy,piracy,,,,,,,,,,,
med_emergencyroom,emergency room,,,,,,,,,,,
med_medicaltourism,medical tourism,,,,,,,,,,,
media_censorship,censorship,,,,,,,,,,,
media_msm,msm,,,,,,,,,,,
media_social,social,,,,,,1,,,,,
medical,medical,,,,,,,,,,,
medical_security,security,,,,,,,,,,,
mil_mercenaries,mercenaries,,,,,,,,,,,
mil_self_identified_arms_deal,arms deal,,,,,,,,,,,
mil_weapons_proliferation,proliferation,,,,,,,,,,,
military,military,,,,,,,,,,,
military_cooperation,cooperation,,,,,,,,,,,
movement_environmental,environmental,1,,,,,,,,,,
movement_general,general,,,,,,,,,,,
movement_other,other,,,,,,,,,,,
movement_social,social,,,,,,1,,,,,
movement_womens,women s,,,,,,,,,,,
natural_disaster,disaster,,,,,1,,,,,,
natural_disaster_aftershock,aftershock,,,,,1,,,,,,
natural_disaster_aftershocks,aftershocks,,,,,1,,,,,,
natural_disaster_avalanche,avalanche,,,,,1,,,,,,
natural_disaster_avalanches,avalanches,,,,,1,,,,,,
natural_disaster_blizzard,blizzard,,,,,1,,,,1,,
natural_disaster_brush_fire,brushfire,,,,,1,,,,1,,
natural_disaster_bushfire,bushfire,,,,,1,,,,1,,
natural_disaster_chill,chill,,,,,1,,,,1,,
natural_disaster_cold_snap,cold snap,,,,,1,,,,1,,
natural_disaster_cyclone,cyclone,,,,,1,,,,1,,
natural_disaster_cyclones,cyclones,,,,,1,,,,1,,
natural_disaster_desertification,desertification,,,,,1,,,,1,,
natural_disaster_drought,drought,,,,,1,,,,1,,
natural_disaster_droughts,droughts,,,,,1,,,,1,,
natural_disaster_drown,drown,,,,,1,,,,1,,
natural_disaster_drowned,drowned,,,,,1,,,,1,,
natural_disaster_drowning,drowning,,,,,1,,,,1,,
natural_disaster_earthquake,earthquake,,,,,1,,,,1,,
natural_disaster_earthquakes,earthquakes,,,,,1,,,,1,,
natural_disaster_erosion,erosion,,,,,1,,,,1,,
natural_disaster_eruption,eruption,,,,,1,,,,1,,
natural_disaster_eruptions,eruptions,,,,,1,,,,1,,
natural_disaster_extreme_weather,extreme weather,,,,,1,,,,1,,
natural_disaster_famine,famine,,,,,1,,,,1,,
natural_disaster_flash_flood,flashflood,,,,,1,,,,1,,
natural_disaster_flash_floods,flashflood s,,,,,1,,,,1,,
natural_disaster_flood,flood,,,,,1,,,,1,,
natural_disaster_flood_warning,flood warning,,,,,1,,,,1,,
natural_disaster_flood_waters,floodwaters,,,,,1,,,,1,,
natural_disaster_flooded,flooded,,,,,1,,,,1,,
natural_disaster_flooding,flooding,,,,,1,,,,1,,
natural_disaster_floods,floods,,,,,1,,,,1,,
natural_disaster_floodwaters,floodwaters,,,,,1,,,,1,,
natural_disaster_forest_fire,forest fire,,,,,1,,,,1,,
natural_disaster_forest_fires,forest fires,,,,,1,,,,1,,
natural_disaster_freezing_temperatures,freezing temperatures,,,,,1,,,,1,,
natural_disaster_frigid,frigid,,,,,1,,,,1,,
natural_disaster_frostbite,frostbite,,,,,1,,,,1,,
natural_disaster_heat_wave,heat wave,,,,,1,,,,1,,
natural_disaster_heat_waves,heat waves,,,,,1,,,,1,,
natural_disaster_heatwave,heat wave,,,,,1,,,,1,,
natural_disaster_heavy_rain,heavy rain,,,,,1,,,,1,,
natural_disaster_heavy_rains,heavy rains,,,,,1,,,,1,,
natural_disaster_heavy_snow,heavy snow,,,,,1,,,,1,,
natural_disaster_heavy_snowfall,snowfall,,,,,1,,,,1,,
natural_disaster_heavy_winds,heavy winds,,,,,1,,,,1,,
natural_disaster_high_water,high water,,,,,1,,,,1,,
natural_disaster_high_wind,high wind,,,,,1,,,,1,,
natural_disaster_high_winds,high winds,,,,,1,,,,1,,
natural_disaster_hurricane,hurricane,,,,,1,,,,1,,
natural_disaster_hurricanes,hurricanes,,,,,1,,,,1,,
natural_disaster_hypothermia,hypothermia,,,,,1,,,,1,,
natural_disaster_ice,ice,,,,,1,,,,1,,
natural_disaster_icy,icy,,,,,1,,,,1,,
natural_disaster_intense_rainfall,intense rainfall,,,,,1,,,,1,,
natural_disaster_landslide,landslide,,,,,1,,,,1,,
natural_disaster_landslides,landslides,,,,,1,,,,1,,
natural_disaster_lava,lava,,,,,1,,,,1,,
natural_disaster_locust,locust,,,,,1,,,,1,,
natural_disaster_magma,magma,,,,,1,,,,1,,
natural_disaster_monsoon,monsoon,,,,,1,,,,1,,
natural_disaster_mudslide,mudslide,,,,,1,,,,1,,
natural_disaster_mudslides,mudslide s,,,,,1,,,,1,,
natural_disaster_natural_disaster,natural,,,,,1,,,,1,,
natural_disaster_natural_disasters,natural disasters,,,,,1,,,,1,,
natural_disaster_powerful_storm,powerful storm,,,,,1,,,,1,,
natural_disaster_richter_scale,richter scale,,,,,1,,,,1,,
natural_disaster_severe_weather,severe weather,,,,,1,,,,1,,
natural_disaster_smog,smog,,,,,1,,,,1,,
natural_disaster_snowstorm,snowstorm,,,,,1,,,,1,,
natural_disaster_storm_damage,storm damage,,,,,1,,,,1,,
natural_disaster_storm_surge,storm surge,,,,,1,,,,1,,
natural_disaster_storm_system,storm system,,,,,1,,,,1,,
natural_disaster_strong_winds,strong winds,,,,,1,,,,1,,
natural_disaster_sustained_winds,sustained winds,,,,,1,,,,1,,
natural_disaster_temblor,temblor,,,,,1,,,,1,,
natural_disaster_tornado,tornado,,,,,1,,,,1,,
natural_disaster_tornadoes,tornadoes,,,,,1,,,,1,,
natural_disaster_torrential_rain,torrential rain,,,,,1,,,,1,,
natural_disaster_torrential_rains,torrential rains,,,,,1,,,,1,,
natural_disaster_tremor,tremor,,,,,1,,,,1,,
natural_disaster_tremors,tremors,,,,,1,,,,1,,
natural_disaster_tropical_cyclone,tropical cyclone,,,,,1,,,,1,,
natural_disaster_tropical_storm,tropical storm,,,,,1,,,,1,,
natural_disaster_tsunami,tsunami,,,,,1,,,,1,,
natural_disaster_twister,twister,,,,,1,,,,1,,
natural_disaster_typhoon,typhoon,,,,,1,,,,1,,
natural_disaster_volcanic,volcanic,,,,,1,,,,1,,
natural_disaster_volcano,volcano,,,,,1,,,,1,,
natural_disaster_volcanoes,volcanoes,,,,,1,,,,1,,
natural_disaster_water_level,water level,,,,,1,,,,1,,
natural_disaster_wildfire,wildfire,,,,,1,,,,1,,
natural_disaster_wildfires,wildfires,,,,,1,,,,1,,
natural_disaster_winter_storm,winter storm,,,,,1,,,,1,,
natural_disaster_wintry,wintry,,,,,1,,,,1,,
negotiations,negotiations,1,,,,,,,1,,,
new_construction,construction,,,,,,,,,,,
organized_crime,crime,,,,,,,,,,,
peacekeeping,peacekeeping,,,,,,,,,,,
persecution,persecution,,,,,,,,,,,
pipeline_incident,incident,,,,,,,,,,,
piracy,piracy,,,,,,,,,,,
political_prisoner,prisoner,,,,,,,,,,,
political_turmoil,turmoil,,,,,,,,,,,
population_density,density,,,,,,,,,,,
poverty,poverty,,,,,,,,,,,
power_outage,outage,,,,,,,,,,,
privatization,privatization,,,,,,,,,,,
propaganda,propaganda,,,,,,,,,,,
property_rights,rights,,,,,,,,1,,,
protest,protest,,,,,,,,1,,,
public_transport,transport,,,,,,,,,,,
rail_incident,incident,,,,,,,,,,,
rape,rape,,,,,,,,,,,
ratify,ratify,1,,,,,,,,,,
rebellion,rebellion,,,,,,,,,,,
rebels,rebels,,,,,,,,,,,
recruitment,recruitment,,,,,,,,,,,
refugees,refugees,,,,,,,,,,,
rel_antisemitism,antisemitism,,,,,,,,,,,
rel_islamophobia,islam o phobia,,,,,,,,,,,
relations,relations,,,,,,,,,,,
release_hostage,hostage,,,,,,,,,,,
religion,religion,,,,,,,,,,,
resignation,resignation,,,,,,,,,,,
retaliate,retaliate,,,,,,,,,,,
retirement,retirement,,,,,,,,,,,
retirements,retirements,,,,,,,,,,,
road_incident,incident,,,,,,,,,,,
rural,rural,,,,,,,,,,,
sanctions,sanctions,,,,,,,,,,,
sanitation,sanitation,,,,,,,,,,,
scandal,scandal,,,,,,,,,,,
science,science,,,,,,,,,,,
security_services,services,,,,,,,,,,,
seige,seige,,,,,,,,,,,
seize,seize,,,,,,,,,,,
self_identified_atrocity,identified atrocity,,,,,,,,,,,
self_identified_environ_disaster,identified environ,,,,,,,,,,,
self_identified_human_rights,rights,,,,,,,,,,,
self_identified_humanitarian_crisis,crisis,,,,,,,,,,,
separatists,separatists,,,,,,,,,,,
shortage,shortage,,,,,,,,,,,
sickened,sickened,,,,,,,,,,,
slfid_capacity_building,capacity building,,,,,,,,,,,
slfid_civil_liberties,civil liberties,,,,,,,,,,,
slfid_dictatorship,dictatorship,,,,,,,,,,,
slfid_economic_development,economic development,,,,,,,,,,,
slfid_economic_developmentaid,economic development aid,,,,,,,,,,,
slfid_economic_power,economic power,,,,,,,,,,,
slfid_military_buildup,military buildup,,,,,,,,,,,
slfid_military_readiness,military readiness,,,,,,,,,,,
slfid_military_spending,military spending,,,,,,,,,,,
slfid_mineral_resources,mineral resources,1,,,,,,,,,,
slfid_natural_resources,natural resources,1,,,,,,,,,,
slfid_rule_of_law,rule law,,,,,,1,,,,,
slums,slums,,,,,,,,,,,
smuggling,smuggling,,,,,,,,,,,
soc_agingpopulation,aging population,,,,,,,,,,,
soc_aidassistance,aid assistance,,,,,,,,,,,
soc_chronicdisease,chronic disease,,,,,,,,,,,
soc_degradingtreatment,degrading treatment,,,,,,,,,,,
soc_diplomrecog,diplo mre cog,,,,,,,,,,,
soc_earlymarriage,early marriage,,,,,,,,,,,
soc_econcoop,econ coop,,,,,,,,,,,
soc_effigy,effigy,,,,,,,,,,,
soc_emergingtech,emerging tech,,,,,,,,,,,
soc_expressregret,express regret,,,,,,,,,,,
soc_expresssupport,express support,,,,,,,,,,,
soc_fascism,fascism,,,,,,,,,,,
soc_generalcrime,general crime,,,,,,1,,,,,
soc_innovation,innovation,,,,,,,,,,,
soc_intelsharing,intel sharing,,,,,,,,,,,
soc_marginalize,marginalize,,,,,,,,,,,
soc_pardon,pardon,,,,,,,,,,,
