Original,Human-readable,topic_2_environmental_regulation,topic_4_customer_orientation,topic_6_shareholder_affiliation,topic_8_hiring_employees,topic_9_natural_disaster,topic_11_litigation,topic_12_carbon_emissions,topic_13_labor_issues,topic_14_supply_chain_problems,topic_15_taxes,is_overlap,has_overlap,has_label
crisislex_t08_missingfoundtrappedpeople,missing found trapped people,,,,,,,,,,,,FALSE,FALSE
crisislex_t09_displacedrelocatedevacuated,displaced relocated evacuated,,,,,,,,,,,,FALSE,FALSE
crisislex_t11_updatessympathy,updates sympathy,,,,,,,,,,,,FALSE,FALSE
crm_arson,arson,,,,,,,,,,,,FALSE,FALSE
crm_bombthreat,bomb threat,,,,,,,,,,,,FALSE,FALSE
curfew,curfew,,,,,,,,,,,,FALSE,FALSE
cyber_attack,attack,,,,,,,,,,,,FALSE,FALSE
death_penalty,penalty,,,,,,,,,,,,FALSE,FALSE
defection,defection,,,,,,,,,,,,FALSE,FALSE
delay,delay,,,,,,,,,,,,FALSE,FALSE
democracy,democracy,,,,,,,,,,,,FALSE,FALSE
disability,disability,,,,,,,,,,,,FALSE,FALSE
disaster_fire,fire,,,,,,,,,,,,FALSE,FALSE
discrimination,discrimination,,,,,,,,,,,,FALSE,FALSE
discrimination_immigration,immigration,,,,,,,,,,,,FALSE,FALSE
discrimination_immigration_antiimmigrant,immigration anti immigrant,,,,,,,,,,,,FALSE,FALSE
discrimination_immigration_antiimmigration,immigration anti immigration,,,,,,,,,,,,FALSE,FALSE
discrimination_immigration_xenophobia,immigration xenophobia,,,,,,,,,,,,FALSE,FALSE
discrimination_immigration_xenophobic,immigration xenophobic,,,,,,,,,,,,FALSE,FALSE
discrimination_lgbt,lgb t,,,,,,,,,,,,FALSE,FALSE
discrimination_lgbt_antigay,lgb t antigay,,,,,,,,,,,,FALSE,FALSE
discrimination_lgbt_homophobia,lgb t homophobia,,,,,,,,,,,,FALSE,FALSE
discrimination_lgbt_homophobic,lgb t homophobic,,,,,,,,,,,,FALSE,FALSE
discrimination_race,race,,,,,,,,,,,,FALSE,FALSE
discrimination_race_racism,race racism,,,,,,,,,,,,FALSE,FALSE
discrimination_race_racist,race racist,,,,,,,,,,,,FALSE,FALSE
discrimination_religion,religion,,,,,,,,,,,,FALSE,FALSE
discrimination_religion_islamophobia,islam o phobia,,,,,,,,,,,,FALSE,FALSE
displaced,displaced,,,,,,,,,,,,FALSE,FALSE
drones,drones,,,,,,,,,,,,FALSE,FALSE
drug_trade,trade,,1,,,,,,,,,,FALSE,TRUE
econ_bankruptcy,bankruptcy,,,,,,,,,,,,FALSE,FALSE
econ_bitcoin,bit coin,,,,,,,,,,,,FALSE,FALSE
econ_boycott,boycott,,,,,,,,,,,,FALSE,FALSE
econ_bubble,bubble,,,,,,,,,,,,FALSE,FALSE
econ_budget_deficit,budget deficit,,,,,,,,,,,,FALSE,FALSE
econ_centralbank,central bank,,,,,,,,,,,,FALSE,FALSE
econ_cost_of_living,cost living,,,,,,,,,,,,FALSE,FALSE
econ_currency_exchange_rate,rate,,,,,,,,,,,,FALSE,FALSE
econ_currency_reserves,currency reserves,,,,,,,,,,,,FALSE,FALSE
econ_debt,debt,,,,,,,,,,,,FALSE,FALSE
econ_deflation,deflation,,,,,,,,,,,,FALSE,FALSE
econ_deregulation,deregulation,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs,development org s,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_asian_development_bank,development bank,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_international_monetary_fund,monetary fund,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_international_organization_for_migration,organization migration,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_organization_for_economic_cooperation,economic cooperation,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_usaid,development org su said,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_world_bank,bank,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_world_food_programme,food programme,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_world_health_organisation,health organisation,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_world_health_organization,health organization,,,,,,,,,,,,FALSE,FALSE
econ_developmentorgs_world_trade_organization,trade organization,,,,,,,,,,,,FALSE,FALSE
econ_dieselprice,diesel price,,,,,,,,,,,,FALSE,FALSE
econ_earningsreport,earnings report,,,,,,,,,,,,FALSE,FALSE
econ_electricaldemand,electrical demand,,,,,,,1,,1,,,TRUE,TRUE
econ_electricalgeneration,electrical generation,,,,,,,1,,1,,,TRUE,TRUE
econ_electricalgrid,electrical grid,,,,,,,1,,,,,FALSE,TRUE
econ_electricalprice,electrical price,,,,,,,1,,,,,FALSE,TRUE
econ_emergingecon,emerging econ,,,,,,,,,,,,FALSE,FALSE
econ_entrepreneurship,entrepreneurship,,,,,,,,,,,,FALSE,FALSE
econ_foreignbanks,foreign banks,,,,,,,,,,,,FALSE,FALSE
econ_foreigninvest,foreign invest,,,,,,,,,,,,FALSE,FALSE
econ_freetrade,free trade,,,,,,,,,,,,FALSE,FALSE
econ_gasolineprice,gasoline price,,,,,,,1,,,,,FALSE,TRUE
econ_goldprice,gold price,,,,,,,,,,,,FALSE,FALSE
econ_heatingoil,heating oil,,,,,,,,,,,,FALSE,FALSE
econ_housing_prices,housing prices,,,,,,,,,,,,FALSE,FALSE
econ_identitytheft,identity theft,,,,,,,,,,,,FALSE,FALSE
econ_inflation,inflation,,,,,,,,,,,,FALSE,FALSE
econ_informal_economy,informal economy,,,,,,,,,,,,FALSE,FALSE
econ_interest_rates,interest rates,,,,,,,,,,,,FALSE,FALSE
econ_ipo,ipo,,,,,,,,,,,,FALSE,FALSE
econ_middleclass,middleclass,,,,,,,,,,,,FALSE,FALSE
econ_moneylaundering,money laundering,,,,,,,,,,,,FALSE,FALSE
econ_monopoly,monopoly,,,,,,,,,,,,FALSE,FALSE
econ_mou,mou,,,,,,,,,,,,FALSE,FALSE
econ_natgasprice,nat gas price,,,,,,,1,,,,,FALSE,TRUE
econ_oilprice,oil price,,,,,,,1,,,,,FALSE,TRUE
econ_pay_cuts,pay cuts,,,,,,,,,,,,FALSE,FALSE
econ_pricecontrol,price control,,,,,,,,,,,,FALSE,FALSE
econ_propane,propane,,,,,,,,,,,,FALSE,FALSE
econ_remittance,remittance,,,,,,,,,,,,FALSE,FALSE
econ_sovereign_debt,sovereign debt,,,,,,,,,,,,FALSE,FALSE
econ_stockmarket,stock market,,,,,,,,,,,,FALSE,FALSE
econ_subsidies,subsidies,,,,,,,,,,,,FALSE,FALSE
econ_taxation,taxation,,,,,,,,,,1,,FALSE,TRUE
econ_trade_dispute,trade dispute,,,,,,,,,,,,FALSE,FALSE
econ_transport_cost,transport cost,,,,,,,,,,,,FALSE,FALSE
econ_underemployment,underemployment,,,,,,,,,,,,FALSE,FALSE
econ_unions,unions,,,,,,,,,,,,FALSE,FALSE
econ_workingclass,working class,,,,1,,,,,,,,FALSE,TRUE
econ_worldcurrencies,world currencies,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_australian_dollar,dollar,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_british_pound,pound,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_canadian_dollar,dollar,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_dinar,world currencies dinar,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_dinars,world currencies dinars,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_dollar,world currencies dollar,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_dollars,world currencies dollars,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_euro,world currencies euro,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_euros,world currencies euros,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_franc,world currencies franc,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_francs,world currencies francs,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_hryvnia,world currencies hr yv nia,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_japanese_yen,yen,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_peso,world currencies peso,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_pesos,world currencies pesos,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_roubles,world currencies roubles,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_ruble,world currencies ruble,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_rubles,world currencies rubles,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_swiss_franc,franc,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_swiss_francs,francs,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_the_rupee,world currencies rupee,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_united_states_dollar,states dollar,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_us_dollar,world currencies dollar,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_us_dollars,world currencies dollars,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_yen,world currencies yen,,,,,,,,,,,,FALSE,FALSE
econ_worldcurrencies_yuan,world currencies yuan,,,,,,,,,,,,FALSE,FALSE
education,education,,,,,,,,,,,,FALSE,FALSE
election,election,,,1,,,,,,,,,FALSE,TRUE
election_fraud,fraud,,,,,,,,,,,,FALSE,FALSE
emerg_emergshelter,emer g shelter,,,,,,,,,,,,FALSE,FALSE
emerg_fieldhospital,field hospital,,,,,,,,,,,,FALSE,FALSE
emerg_suspiciouspackage,suspicious package,,,,,,,,,,,,FALSE,FALSE
env_biofuel,bio fuel,,,,,,,1,,,,,FALSE,TRUE
env_climatechange,climate change,1,,,,1,,1,,,,,TRUE,TRUE
env_coal,coal,1,,,,,,1,,,,,TRUE,TRUE
env_deforestation,deforestation,1,,,,,,,,,,,FALSE,TRUE
env_fishery,fishery,,,,,,,,,,,,FALSE,FALSE
env_forestry,forestry,1,,,,,,,,,,,FALSE,TRUE
env_geothermal,geothermal,1,,,,,,1,,,,,TRUE,TRUE
env_green,green,1,,,,,,,,,,,FALSE,TRUE
env_hydro,hydro,1,,,,1,,,,,,,TRUE,TRUE
env_metals,metals,1,,,,,,,,,,,FALSE,TRUE
env_mining,mining,1,,,,,,,,,,,FALSE,TRUE
env_naturalgas,natural gas,,,,,,,1,,,,,FALSE,TRUE
env_nuclearpower,nuclear power,,,,,,,1,,,,,FALSE,TRUE
env_oil,oil,1,,,,,,1,,,,,TRUE,TRUE
env_overfish,overfish,,,,,,,,,,,,FALSE,FALSE
env_poaching,poaching,,,,,,,,,,,,FALSE,FALSE
env_solar,solar,1,,,,,,,,,,,FALSE,TRUE
env_speciesendangered,species endangered,,,,,,,,,,,,FALSE,FALSE
env_waterways,waterways,,,,,,,,,,,,FALSE,FALSE
env_windpower,wind power,,,,,,,,,,,,FALSE,FALSE
epu_cats_debt_ceiling_gov_shutdown,ceiling gov shutdown,,,,,,,,,,,,FALSE,FALSE
epu_cats_entitlement_programs,programs,1,,,,,,,,,,,FALSE,TRUE
epu_cats_financial_regulation,regulation,1,,,,,1,,,,,,TRUE,TRUE
epu_cats_fiscal_policy,cats fiscal,,,,,,,,,,,,FALSE,FALSE
epu_cats_healthcare,cats healthcare,,,,,,,,,,,,FALSE,FALSE
epu_cats_migration_fear_fear,fear fear,,,,,,,,,,,,FALSE,FALSE
epu_cats_migration_fear_migration,fear migration,,,,,,,,,,,,FALSE,FALSE
epu_cats_monetary_policy,cats monetary,,,,,,,,,,,,FALSE,FALSE
epu_cats_national_security,security,,,,,,,,,,,,FALSE,FALSE
epu_cats_regulation,cats regulation,,,,,,,,,,,,FALSE,FALSE
epu_cats_sovereign_debt_currency_crises,debt currency crises,,,,,,,,,,,,FALSE,FALSE
epu_cats_taxes,cats taxes,,,,,,,,,,1,,FALSE,TRUE
epu_cats_trade_policy,cat strade,,,,,,,,,,,,FALSE,FALSE
epu_economy,economy,,,,,,,,,,,,FALSE,FALSE
epu_economy_historic,economy historic,,,,,,,,,,,,FALSE,FALSE
epu_policy,policy,1,,,,,,,,,,,FALSE,TRUE
epu_policy_authorities,authorities,1,,,,,,,,,,,FALSE,TRUE
epu_policy_bank_of_japan,bank japan,,,,,,,,,,,,FALSE,FALSE
epu_policy_blue_house,blue house,,,,,,,,,,,,FALSE,FALSE
epu_policy_budget,budget,,,,,,,,,,,,FALSE,FALSE
epu_policy_central_bank,central bank,,,,,,,,,,,,FALSE,FALSE
epu_policy_congress,congress,,,,,,,,,,,,FALSE,FALSE
epu_policy_congressional,congressional,,,,,,,,,,,,FALSE,FALSE
epu_policy_deficit,deficit,,,,,,,,,,,,FALSE,FALSE
epu_policy_duma,duma,,,,,,,,,,,,FALSE,FALSE
epu_policy_federal_reserve,federal reserve,,,,,,,,,,,,FALSE,FALSE
epu_policy_fiscal_policy,fiscal,,,,,,,,,,,,FALSE,FALSE
epu_policy_government,government,1,,,,,,,,,,,FALSE,TRUE
epu_policy_interest_rate,interest rate,,,,,,,,,,,,FALSE,FALSE
epu_policy_interest_rates,interest rates,,,,,,,,,,,,FALSE,FALSE
epu_policy_law,law,1,,,,,,,,,,,FALSE,TRUE
epu_policy_lawmakers,lawmakers,1,,,,,,,,,,,FALSE,TRUE
epu_policy_legislation,legislation,1,,,,,,,,,,,FALSE,TRUE
epu_policy_ministry_of_finance,ministry finance,,,,,,,,,,,,FALSE,FALSE
epu_policy_monetary_policy,monetary,,,,,,,,,,,,FALSE,FALSE
epu_policy_policy,policy policy,1,,,,,,,,,,,FALSE,TRUE
epu_policy_policymakers,policymaker s,1,,,,,,,,,,,FALSE,TRUE
epu_policy_political,policy political,1,,,,,,,,,,,FALSE,TRUE
epu_policy_public_investment,public investment,,,,,,,,,,,,FALSE,FALSE
epu_policy_reform,reform,,,,,,,,,,,,FALSE,FALSE
epu_policy_regulation,regulation,1,,,,,,,,,,,FALSE,TRUE
epu_policy_regulatory,regulatory,1,,,,,,,,,,,FALSE,TRUE
epu_policy_spending,spending,,,,,,,,,,,,FALSE,FALSE
epu_policy_tax,tax,,,,,,,,,,1,,FALSE,TRUE
epu_policy_white_house,whitehouse,,,,,,,,,,,,FALSE,FALSE
epu_policy_world_trade_organization,organization,,,,,,,,,,,,FALSE,FALSE
epu_uncertainty,uncertainty,,,,,,,,,,,,FALSE,FALSE
eth_indiginous,indi gin ous,,,,,,,,,,,,FALSE,FALSE
evacuation,evacuation,,,,,,,,,,,,FALSE,FALSE
exhumation,exhumation,,,,,,,,,,,,FALSE,FALSE
exile,exile,,,,,,,,,,,,FALSE,FALSE
extremism,extremism,,,,,,,,,,,,FALSE,FALSE
firearm_ownership,ownership,,,1,,,,,,,,,FALSE,TRUE
food_security,security,,,,,,,,,,,,FALSE,FALSE
food_staple,staple,,,,,,,,,,,,FALSE,FALSE
freespeech,free speech,,,,,,,,,,,,FALSE,FALSE
fuelprices,fuel prices,,,,,,,,,,,,FALSE,FALSE
gen_holiday,holiday,,,,,,,,,,,,FALSE,FALSE
gender_violence,violence,,,,,,,,,,,,FALSE,FALSE
general_government,government,1,,,,,,,,,,,FALSE,TRUE
general_health,health,,,,,,,,,,,,FALSE,FALSE
general_public_opinion,public opinion,,,,,,1,,,,,,FALSE,TRUE
gentrification,gentrification,,,,,,,,,,,,FALSE,FALSE
gov_dissolvegov,dissolve gov,,,,,,,,,,,,FALSE,FALSE
gov_foia,foia,,,,,,,,,,,,FALSE,FALSE
gov_intergovernmental,intergovernmental,1,,,,,,,,,,,FALSE,TRUE
gov_localgov,local gov,1,,,,,,,,,,,FALSE,TRUE
gov_reform,reform,,,,,,,,,,,,FALSE,FALSE
gov_repatriation,repatriation,,,,,,,,,,,,FALSE,FALSE
gov_wiretapping,wiretapping,,,,,,,,,,,,FALSE,FALSE
grievances,grievances,,,,,,,,,,,,FALSE,FALSE
harassment,harassment,,,,,,,,,,,,FALSE,FALSE
hate_speech,speech,,,,,,,,,,,,FALSE,FALSE
health_pandemic,pandemic,,,,,1,,,,,,,FALSE,TRUE
health_sextransdisease,sex trans disease,,,,,,,,,,,,FALSE,FALSE
health_vaccination,vaccination,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses,rights abuses,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_beatings,beatings,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_concentration_camp,concentration camp,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_concentration_camps,concentration camps,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_extrajudicial,extrajudicial,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_human_rights_abuses,human rights abuses,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_mass_graves,mass graves,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_police_brutality,police brutality,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_torture,torture,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_tortured,tortured,,,,,,,,,,,,FALSE,FALSE
human_rights_abuses_torturing,torturing,,,,,,,,,,,,FALSE,FALSE
human_trafficking,trafficking,,,,,,,,,,,,FALSE,FALSE
ideology,ideology,,,,,,,,,,,,FALSE,FALSE
immigration,immigration,,,,,,,,,,,,FALSE,FALSE
impeachment,impeachment,,,,,,,,,,,,FALSE,FALSE
income_inequality,inequality,,,,,,,,,,,,FALSE,FALSE
inequality,inequality,,,,,,,,,,,,FALSE,FALSE
info_hoax,hoax,,,,,,,,,,,,FALSE,FALSE
info_rumor,rumor,,,,,,,,,,,,FALSE,FALSE
infrastructure_bad_roads,bad roads,,,,,,,,,,,,FALSE,FALSE
insurgency,insurgency,,,,,,,,,,,,FALSE,FALSE
internet_censorship,censorship,,,,,,,,,,,,FALSE,FALSE
jihad,jihad,,,,,,,,,,,,FALSE,FALSE
justice,justice,,,,,,,,,,,,FALSE,FALSE
kidnap,kidnap,,,,,,,,,,,,FALSE,FALSE
kill,kill,,,,,,,,,,,,FALSE,FALSE
landmine,land mine,,,,,,,,,,,,FALSE,FALSE
leader,leader,,,1,,,,,,,,,FALSE,TRUE
leg_constitutionalamendment,constitutional amendment,,,,,,,,,,,,FALSE,FALSE
legalize,legalize,,,,,,,,,,,,FALSE,FALSE
legislation,legislation,,,,,,,,,,,,FALSE,FALSE
lgbt,lgb t,,,,,,,,,,,,FALSE,FALSE
literacy,literacy,,,,,,,,,,,,FALSE,FALSE
manmade_disaster,disaster,,,,,1,,,,,,,FALSE,TRUE
manmade_disaster_aground,aground,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_car_accident,car accident,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_car_crash,car crash,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_deadly_accident,deadly accident,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_derailed,derailed,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_derailment,derailment,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_emergency_landing,emergency landing,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_fire_truck,fire truck,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_fire_trucks,fire trucks,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_gas_explosion,gas explosion,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_helicopter_crash,helicopter crash,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_house_fire,house fire,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_implied,implied,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_oil_spill,oil spill,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_plane_crash,plane crash,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_power_failure,power failure,,,,,,,,,1,,,FALSE,TRUE
manmade_disaster_power_outage,power outage,,,,,,,,,1,,,FALSE,TRUE
manmade_disaster_power_outages,power outages,,,,,,,,,1,,,FALSE,TRUE
manmade_disaster_radioactive,radioactive,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_restore_power,restore power,,,,,,,,,1,,,FALSE,TRUE
manmade_disaster_road_accident,road accident,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_suspicious_package,suspicious package,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_traffic_accident,traffic accident,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_vehicle_crash,vehicle crash,,,,,,,,,,,,FALSE,FALSE
manmade_disaster_without_electricity,electricity,,,,,,,,,1,,,FALSE,TRUE
manmade_disaster_without_power,power,,,,,,,,,1,,,FALSE,TRUE
maritime,maritime,,,,,,,,,,,,FALSE,FALSE
maritime_incident,incident,,,,,,,,,,,,FALSE,FALSE
maritime_incident_self_identified,identified,,,,,,,,,,,,FALSE,FALSE
maritime_piracy,piracy,,,,,,,,,,,,FALSE,FALSE
med_emergencyroom,emergency room,,,,,,,,,,,,FALSE,FALSE
med_medicaltourism,medical tourism,,,,,,,,,,,,FALSE,FALSE
media_censorship,censorship,,,,,,,,,,,,FALSE,FALSE
media_msm,msm,,,,,,,,,,,,FALSE,FALSE
media_social,social,,,,,,1,,,,,,FALSE,TRUE
medical,medical,,,,,,,,,,,,FALSE,FALSE
medical_security,security,,,,,,,,,,,,FALSE,FALSE
mil_mercenaries,mercenaries,,,,,,,,,,,,FALSE,FALSE
mil_self_identified_arms_deal,arms deal,,,,,,,,,,,,FALSE,FALSE
mil_weapons_proliferation,proliferation,,,,,,,,,,,,FALSE,FALSE
military,military,,,,,,,,,,,,FALSE,FALSE
military_cooperation,cooperation,,,,,,,,,,,,FALSE,FALSE
movement_environmental,environmental,1,,,,,,,,,,,FALSE,TRUE
movement_general,general,,,,,,,,,,,,FALSE,FALSE
movement_other,other,,,,,,,,,,,,FALSE,FALSE
movement_social,social,,,,,,1,,,,,,FALSE,TRUE
movement_womens,women s,,,,,,,,,,,,FALSE,FALSE
natural_disaster,disaster,,,,,1,,,,,,,FALSE,TRUE
natural_disaster_aftershock,aftershock,,,,,1,,,,,,,FALSE,TRUE
natural_disaster_aftershocks,aftershocks,,,,,1,,,,,,,FALSE,TRUE
natural_disaster_avalanche,avalanche,,,,,1,,,,,,,FALSE,TRUE
natural_disaster_avalanches,avalanches,,,,,1,,,,,,,FALSE,TRUE
natural_disaster_blizzard,blizzard,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_brush_fire,brushfire,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_bushfire,bushfire,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_chill,chill,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_cold_snap,cold snap,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_cyclone,cyclone,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_cyclones,cyclones,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_desertification,desertification,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_drought,drought,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_droughts,droughts,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_drown,drown,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_drowned,drowned,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_drowning,drowning,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_earthquake,earthquake,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_earthquakes,earthquakes,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_erosion,erosion,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_eruption,eruption,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_eruptions,eruptions,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_extreme_weather,extreme weather,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_famine,famine,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_flash_flood,flashflood,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_flash_floods,flashflood s,,,,,1,,,,1,,,TRUE,TRUE
natural_disaster_flood,flood,,,,,1,,,,1,,,TRUE,TRUE
