topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124,topic_125,topic_126,topic_127,topic_128,topic_129,topic_130,topic_131,topic_132,topic_133,topic_134,topic_135,topic_136,topic_137,topic_138,topic_139,topic_140,topic_141,topic_142,topic_143
legislation,grade,difficulty,employee,recoverable,favorable,request,relation,collateral,success,statement,statement,manner,fully,impact,domestic,settle,default,end,operator,combination,serve,profitable,delaware,distribution,interruption,commodity,recoverable,lease,practice,leverage,air,rock,government,regulate,volatility,credit,borrow,attack,mexico,respectively,support,critical,consolidation,good,affiliate,ton,employee,reclamation,information,personal,industry,commitment,proceed,stringent,corporation,fluctuate,exceed,injury,consumption,vote,commodity,default,curtail,tariff,demand,dilute,business,country,liquidity,exploration,base,key,gain,ownership,interruption,property,acquire,payable,december,source,lender,restructure,equity,lease,stage,scale,ownership,argentina,suspend,metal,district,location,electric,dispose,generate,history,impairment,minimum,outcome,product,power,sale,precious,combination,pattern,growth,average,steel,governmental,account,liability,recover,dilute,location,profitability,make,assure,coverage,freeport,cover,demand,dispute,fire,prefer,extract,outside,profitable,define,represent,pattern,fluctuate,share,treat,guide,connection,legislation,leverage,global,district,technical,discover,bond,decrease
health,mineralize,benefit,worker,estimate,debt,percent,expense,assurance,highly,please,emerge,costly,damage,emergence,energy,see,secure,total,never,vote,china,since,director,partnership,protect,write,discovery,practice,act,refinance,consumption,geological,yanacocha,stringent,prefer,revolve,liquidity,economic,emerge,february,curtail,shipment,market,grow,offer,long,president,closure,title,environment,steel,evolve,indenture,law,delaware,extreme,diesel,workforce,fuel,corporate,volatility,achieve,need,seasonal,cost,prefer,strategy,operator,exchange,conduct,scale,acquire,declare,raise,hazard,feasibility,another,outstanding,employee,percent,outstanding,case,acceptable,system,metal,sec,raise,mexico,district,delay,indonesia,prolong,unite,indonesia,effort,discover,gold,foreseeable,influence,demand,produce,convertible,zinc,combine,environmental,discovery,discussion,last,project,produce,obligation,mineralization,outstanding,title,costly,debt,corporation,default,cow,outstanding,global,court,profitability,kinross,prove,state,relevant,probable,customer,availability,fluctuation,delist,apply,property,additional,compliance,turn,electricity,injury,competitor,adequate,arrangement,represent
penalty,recovery,growth,relation,fair,todd,january,hedge,estimate,life,uncertainty,act,delay,expensive,economy,pattern,judgment,leverage,purchase,creek,stock,pandemic,stage,merger,recognize,damage,hedge,mineralize,doe,regulation,facility,power,weather,regional,law,warrant,provide,need,unite,economic,close,construct,salt,electric,component,director,early,individual,retirement,payment,claim,major,yanacocha,stockholder,regulate,request,list,input,district,utility,arise,decline,agreement,construction,historically,availability,debenture,suffer,enact,requirement,north,project,large,future,security,site,hold,title,indenture,assumption,renewable,credit,effective,achieve,party,discover,prove,outstanding,peru,damage,third,transport,flood,competitor,engineer,never,prove,write,repurchase,officer,pattern,emission,market,global,delist,panel,achieve,pound,oil,timely,export,post,geological,indenture,liability,interruption,payment,loan,minimum,uncertainty,consist,impose,property,strike,convertible,canadian,certificate,producer,ever,demand,activity,historically,follow,distribution,unsuccessful,shareholder,manner,refinance,policy,workforce,contractor,protection,fair,similar
substance,actual,identify,agreement,long,equity,pursuant,relative,regulatory,service,face,account,process,economically,climate,fire,panel,agreement,contract,participate,premium,worldwide,evaluate,discretion,federal,defect,impairment,quantity,right,stringent,letter,source,underground,national,state,volume,lease,covenant,conduct,activity,fluctuate,flood,impair,customer,customer,class,adjustment,success,estimate,shipment,storage,attract,regulatory,debenture,reclamation,distribution,trade,metal,political,combustion,entity,average,successfully,availability,availability,use,issue,reputation,america,discretion,australia,bar,executive,prefer,shareholder,event,data,stream,liquidation,investment,consume,restrictive,file,order,breach,never,construction,debenture,bank,flood,need,outside,impact,competition,challenge,produce,stage,necessary,prefer,common,retail,producer,public,bank,certificate,enact,ore,fiscal,salt,guide,respectively,letter,le,exercise,venture,china,transfer,dividend,govern,underground,borrow,trade,lawsuit,decrease,debt,investor,outcome,extraction,study,nutrition,extreme,extend,action,record,none,issue,propose,borrowing,increasingly,critical,qualify,volatile,liquidity,five
protection,differ,achieve,disruption,review,commercially,district,mexican,obligation,person,differ,independent,grant,unexpected,evolve,gas,damage,instrument,large,royalty,anti,condition,uranium,owner,treatment,design,molybdenum,deposit,stream,health,indenture,oil,life,bolivia,taxable,investor,borrow,senior,regional,government,molybdenum,sufficient,service,personal,implement,warrant,default,person,responsible,table,responsible,ton,local,outstanding,protect,treatment,often,manage,occur,publish,rise,precious,chapter,drill,america,gas,shareholder,defect,locate,equity,development,geological,suitable,upon,prefer,prolong,decision,stage,senior,borrowing,electric,secure,go,fund,waste,hire,return,stockholder,foreign,structure,adjustment,complex,salt,support,indonesian,guide,property,authorization,deem,stock,quarter,diesel,stockholder,consumer,restructure,regulatory,profitably,severe,expand,construction,industry,inaccurate,sustain,holder,bargain,availability,senior,thus,agreement,refer,market,country,successful,flood,payment,never,investor,history,commercially,total,depend,trade,nyse,borrowing,near,expense,phase,outstanding,panel,temporarily,component,factor,letter,electric
compliance,probable,pursue,productivity,adjustment,acquire,grant,argentina,epa,experience,materially,identify,consume,interruption,attack,emission,detail,subsidiary,revenue,option,corporate,covid,earn,elect,taxation,critical,reflect,process,operator,breach,institution,regulate,liability,policy,adopt,shareholder,assurance,schedule,currency,indonesia,metal,north,disruption,effectively,historically,opportunity,cow,service,record,bankruptcy,liability,low,road,issuance,extensive,unitholders,trend,settle,area,source,certificate,volatile,instrument,personnel,inventory,consumption,vote,divert,royalty,day,economic,ore,competitive,likely,debenture,condition,inherent,royalty,loan,balance,carbon,default,covenant,public,application,assumption,probable,security,fluctuation,indonesia,arise,hazard,greenhouse,manufacturer,rainfall,project,overall,permit,distribution,share,profitability,fire,warrant,economic,stockholder,issue,stage,end,process,carry,import,insure,differ,shareholder,disrupt,nutrition,lender,cannot,loan,miner,conversion,concentrate,federal,alternative,liquidity,differ,person,evaluate,mineralization,sale,energy,pound,past,live,engineer,refinance,jurisdiction,acceptable,alternative,tailing,competition,extract,volatility,without
hazardous,scale,success,negotiate,indicate,suitable,contract,country,responsible,compete,report,timely,salt,adequate,workforce,carbon,court,borrow,sell,concession,common,extreme,extraction,outstanding,entity,implementation,copper,phase,interest,comply,secure,regulation,interruption,concession,bolivia,security,failure,indenture,panel,concession,fix,infrastructure,strike,attract,hbb,leverage,allow,qualify,item,decision,environmental,region,project,dilution,environmental,unit,performance,exposure,conflict,generation,stockholder,flow,start,water,pattern,produce,stockholder,cause,litigation,registration,substantially,recovery,precious,series,strategic,region,inaccurate,positive,borrow,bargain,interruption,note,seek,cease,stream,successful,extract,conversion,announce,workforce,component,structure,particular,key,study,carefully,positive,study,common,delaware,last,compete,offer,pound,specific,apply,develop,month,new,delay,consolidation,actual,grade,issue,joint,demand,revolve,present,total,movement,nyse,sector,surface,fuel,pay,probable,nevada,bankruptcy,establish,respectively,accurately,world,volatile,utilize,proceed,security,restrictive,letter,pressure,government,experience,ore,corporate,utility
criminal,quantity,problem,cerro,molybdenum,dilution,july,australia,cost,technical,factor,list,order,overall,public,plant,resolve,debenture,profitability,strategic,might,liquidity,net,officer,challenge,integrate,market,economically,reputation,reputation,covenant,change,severe,country,carbon,decline,compensation,default,exposure,inflation,period,access,product,producer,profitability,negotiate,extension,suitable,obligation,replace,air,international,political,declare,matter,qualify,range,zinc,safety,stringent,best,produce,bolivia,contractor,serve,natural,conversion,compete,expensive,shareholder,peru,phase,qualify,distribution,holder,disruption,extract,precious,credit,sustain,supplier,subsidiary,presently,unit,contract,achieve,ore,warrant,crisis,instability,unexpected,conduct,supply,performance,approve,feasibility,fiscal,prevent,payment,prefer,decrease,supply,security,currency,reflect,national,history,inventory,cost,amendment,customer,benefit,ore,prefer,personnel,quality,contractual,merger,facility,economic,value,good,allege,transportation,terminate,economically,claim,ultimately,determination,product,electricity,zinc,stockholder,unit,identify,raise,australia,restrictive,plant,safety,suitable,particular,default,three
governmental,viability,expand,approximately,prove,reasonable,audit,exposure,agency,workforce,set,section,extract,disposal,ongoing,natural,settlement,refinance,volume,brazil,merger,prolong,respectively,transfer,adjustment,suffer,kinross,metallurgical,panel,applicable,lender,pattern,insurance,peso,treat,kinross,closure,fund,locate,election,decline,construction,nutrition,nmhgs,competitor,another,term,highly,surety,access,site,great,peruvian,pay,water,state,security,utilize,region,reduction,unitholders,low,skilled,worker,sector,supplier,equity,hire,canada,procedure,factor,grade,resource,stockholder,additional,operation,ore,commercially,declare,union,demand,incur,holder,substantial,health,earn,reserve,vote,fluctuate,road,settle,active,uncertain,seasonal,water,deposit,unsuccessful,obtain,convertible,approval,volatility,availability,outstanding,beyond,list,sector,economically,weather,profitable,start,viability,retirement,expenditure,stockholder,control,manufacturer,entity,interest,borrow,road,convertible,outside,person,shortage,director,resource,grupo,license,stage,decrease,viability,look,inventory,presently,positive,stockholder,officer,revise,increase,address,highly,viability,exchange,retail
comply,feasibility,divert,good,decline,term,smelter,inflation,scope,officer,information,audit,expand,event,world,alternative,remediation,borrowing,favorable,project,approval,margin,prove,duty,take,criminal,margin,ever,litigation,impose,billion,legislative,production,mexico,irs,stockholder,require,cash,civil,crisis,high,tailing,problem,profit,decline,dilution,agreement,relatively,review,hold,investigation,electric,disclosure,board,generation,publicly,decline,volatility,predict,regulation,code,inventory,settlement,cost,sale,hedge,holder,skilled,stream,investor,locate,typically,successfully,history,acquisition,transportation,sec,defect,secure,estimate,availability,loan,ownership,irs,data,generate,gold,delist,respectively,social,five,involve,level,market,air,analysis,success,bar,covenant,foreseeable,domestic,carbon,registration,average,enter,fuel,discover,please,connection,license,foreign,closure,feasibility,convert,delay,strike,repurchase,incorporation,outstanding,locate,shareholder,curtail,jurisdiction,utility,shareholder,study,damage,borrowing,spend,portion,unexpected,average,extreme,foreseeable,prove,debenture,standard,collateral,insurance,investigation,service,establish,requirement,sale
impose,extract,stage,worldwide,assessment,indebtedness,panel,derivative,federal,effectively,form,attention,authority,monetary,unknown,overall,consolidate,lender,year,success,even,consumer,record,conflict,delaware,reputation,low,body,successful,damage,consist,regulatory,hazardous,crisis,impose,fluctuation,default,flow,violence,exploration,year,weather,extreme,great,foreign,officer,delivery,director,exceed,performance,federal,tariff,member,warrant,standard,proposal,investment,protect,social,phase,executive,shipment,construction,steel,expectation,equipment,security,problem,silica,dilute,dispute,production,manufacturer,indenture,purpose,shortage,economically,prove,collateral,provide,steel,govern,section,offer,hazardous,reserve,geological,refinance,canadian,tailing,silver,look,emission,compete,environmental,fund,ore,governmental,debt,board,weakness,overall,sell,per,merger,attention,chief,respectively,commodity,application,earn,require,live,either,supplier,steel,restriction,election,dividend,group,debenture,president,silica,beyond,transaction,feasibility,conflict,warrant,estimate,america,unanticipated,oil,substantial,emergence,probable,transaction,nevada,instrument,pattern,attack,relatively,commercially,reclamation,two
standard,vary,complete,relationship,assumption,liquidity,wa,nmhgs,law,relatively,security,delist,water,maintain,uncertain,consumer,medium,restrict,account,entitle,best,fluctuate,dividend,interest,adopt,implement,volatility,commercially,identify,allege,ratio,global,cause,violence,legislative,vote,liquidity,prevail,crisis,policy,december,process,manufacturer,trend,materially,transaction,purchase,small,bond,revenue,surface,retail,covid,receive,emission,audit,follow,open,pandemic,demand,partner,live,executive,rainfall,advance,volatile,percentage,acquisition,violation,market,control,mineralization,chief,quarterly,conversion,supply,typically,feasibility,bankruptcy,asset,domestic,restriction,settlement,capital,negotiate,probable,actual,holder,value,april,party,rock,tariff,downturn,manage,development,expansion,reserve,relevant,grupo,vary,plant,unit,world,carefully,conflict,acceptable,live,well,process,international,historical,benefit,indebtedness,action,source,borrowing,determine,letter,area,account,impact,medium,source,indenture,mineralization,type,historically,quantity,utility,severe,vary,warrant,realize,partner,common,state,default,investor,work,necessary,regulation,expose,hbb
waste,economically,effectively,force,exceed,able,violence,world,require,dependent,currently,investor,expansion,available,productivity,decrease,action,loan,approximately,consent,law,pattern,successfully,make,amount,nature,fair,construct,accordance,environmental,debenture,legislation,road,argentina,greenhouse,accurately,black,loan,economy,climate,china,todd,lack,inventory,china,issuance,satisfy,experience,provision,right,protection,large,detail,issue,remediation,rule,immaterial,sale,indonesian,rule,merger,downturn,terminate,pandemic,relatively,historically,unit,product,consume,satisfy,district,replacement,personnel,quarter,connection,delay,viability,unless,debenture,taxable,use,dividend,letter,need,access,deposit,stage,exercise,import,stoppage,export,injury,electricity,last,ore,commercially,mineralization,commence,series,conflict,small,greenhouse,list,rate,presently,matter,depend,sale,electricity,bolivia,decline,anticipate,cost,retirement,operation,electricity,refinance,board,note,government,borrowing,currency,investigation,condition,liquidation,disclosure,court,mineralize,recoverable,generate,location,live,list,unitholders,recoverable,obtain,criminal,agency,gas,violence,acquire,recoverable,enter,power
authority,drill,suitable,three,probable,access,february,shareholder,equivalent,suitable,see,control,agency,hazardous,response,segment,note,ratio,renew,realize,outstanding,market,end,board,common,civil,weakness,study,violation,international,million,proposal,industrial,ha,propose,board,requirement,premium,dispute,coeur,volatility,rock,volume,directly,restructure,public,supply,technical,presently,liquidation,exposure,reduce,bring,payment,quality,former,carefully,purchase,outside,climate,matter,operator,foreseeable,compete,consumer,industrial,ownership,system,taxation,close,uncertainty,development,experience,retain,warrant,personal,silver,recoverable,commitment,early,infrastructure,collateral,taxable,unless,costly,investor,economically,percentage,policy,safety,product,geological,severe,source,process,reserve,successful,commercially,none,transaction,rainfall,segment,raise,volatility,affiliate,air,start,fluctuate,year,explore,market,connection,impairment,kinross,australia,replacement,covenant,outstanding,debenture,injury,february,pattern,litigation,deliver,suspend,uncertainty,vote,chapter,discovery,brazil,factor,metal,decline,australian,report,debt,director,service,effort,cow,supply,invest,covenant,amount
violation,data,hire,december,consolidate,satisfactory,rat,movement,modification,inability,investment,irs,land,loss,weakness,combustion,matter,outstanding,derive,proceed,elect,sector,loss,repay,consequence,operational,consolidation,estimate,third,jurisdiction,capacity,plant,event,mexican,enforcement,dividend,adequate,generate,china,regional,end,product,source,downturn,supplier,delist,enter,insurance,investigation,lease,health,recent,authorization,million,epa,internal,factor,prevent,accident,proposal,another,charge,silver,production,input,product,delist,competitor,dispute,difficult,outcome,recover,expand,look,percentage,outside,metal,reserve,note,refinance,overall,leverage,court,liquidity,information,encounter,successfully,prefer,volatility,investigation,customer,costly,nutrition,revenue,near,extract,table,acquire,subsidiary,issuance,revenue,use,discretion,demand,share,country,feasibility,revenue,increase,major,end,record,recovery,per,equipment,equipment,participate,policy,borrowing,yanacocha,certificate,fluctuate,pending,electric,instrument,part,action,commence,exploration,electric,access,refer,lawsuit,limitation,commercially,share,country,compliance,coverage,july,drill,feasibility,chapter,plant
