symbol,filing_time,text,topic_ids,label
bmix,2022-03,"We may seek to raise additional funds, finance acquisitions, or develop strategic relationships by issuing securities that would dilute your ownership.","[1, 3, 8]",0
ceix,2018-02,"In the event the IRS were to prevail with such challenge, CNX, the Company and the Companys stockholders could be subject to significant U.S. federal income tax liability.","[11, 15]",1
scco,2008-02,Environmental regulations in Peru and Mexico have become increasingly stringent over the last decade and we have been required to dedicate more time and money to compliance and remediation activities.,"[2, 5]",1
slca,2021-02,"As a result of market conditions, competition or other factors, these customers may not continue to purchase the same levels of our products in the future, if at all.",[4],0
rgld,2007-08,"Although we attempt to secure contractual rights that will permit us to protect our interests, there can be no assurance that such rights will always be available or sufficient, or that our efforts will be successful in achieving timely or favorable results or in affecting the operations of the properties in which we have royalty interests in ways that would be beneficial to our stockholders.","[1, 6]",1
arlp,2022-02,"Other public nuisance lawsuits have been brought in the past against power, coal, and oil & gas companies alleging that their operations are contributing to climate change.","[11, 12]",0
nem,2008-02,"Such estimates are, to a large extent, based on the price of gold and interpretations of geologic data obtained from drill holes and other exploration techniques.","[1, 7]",0
lode,2015-01,Substantial expenditures are required to acquire existing gold properties with established reserves or to establish proven or probable reserves through drilling and analysis.,"[1, 7]",0
arch,2009-02,Those financial institutions may not be able to meet their funding commitments if they experience shortages of capital and liquidity or if they experience excessive volumes of borrowing requests within a short period of time.,"[0, 1, 8]",0
arlp,2018-02,Retirements of coal-fired electric generating units decrease the overall capacity to burn coal and negatively impact coal demand.,"[4, 12]",0
fcx,2016-02,We are also subject to claims where the release of hazardous substances is alleged to have damaged natural resources.,"[2, 11]",0
xpl,2021-03,Severe weather or violent storms could materially affect our operations due to damage or delays caused by such weather.,"[9, 14]",1
arch,2014-02,"If we fail to acquire sufficient export sales to meet our minimum obligations under these contracts we are still obligated to make payments to the railway or port facility, which could have a negative impact on our cash flows, profitability and results of operations.","[0, 4]",1
lode,2020-03,"Time delays associated with obtaining entitlements, unforeseen development issues, unanticipated labor and material cost increases, higher carrying costs, and general market deterioration and other changes may negatively impact the profitability and capital needs of Tonogold.","[1, 12]",0
uec,2019-10,We do not insure against all of the risks we face in our operations.,[9],0
cde,2020-02,"These types of initiatives may not sufficiently offset reductions in revenues, and the Company may continue to incur losses associated with sustained lower metals prices.","[10, 12]",0
btu,2012-02,"If our assumptions do not materialize as expected, actual cash expenditures and costs that we incur could be materially different than currently estimated.",[7],1
fcx,2010-02,Increases in these rates will increase our interest costs and reduce our profits and operating cash flows.,[12],0
cmp,2021-02,We may not be able to find qualified replacements for these key positions and the integration of replacements may be disruptive to our business.,[8],1
lode,2009-04,"The total cash costs of production at any location are frequently subject to great variation from year to year as a result of a number of factors, such as the changing composition of ore grade or mineralized material production, and metallurgy and exploration activities in response to the physical shape and location of the ore body or deposit.","[1, 7, 12, 14]",0
lode,2021-03,"When our securities are covered by the penny stock rules, additional sales practice requirements are imposed on broker-dealers that sell to persons other than established customers and accredited investors.","[3, 4]",1
arlp,2013-03,Our managing general partner may not be removed except upon the vote of the holders of at least 66.7% of our outstanding units.,"[3, 6]",0
uuuu,2019-03,We also recover uranium from processing alternate feed materials at our White Mesa Mill.,"[1, 7]",1
nem,2011-02,"In addition, there may be intense competition for the acquisition of attractive mining properties.",[8],0
scco,2009-03,Significant competition exists to acquire properties producing or capable of producing copper and other metals.,"[7, 8, 10]",0
hcc,2018-02,"Certain of our subsidiaries are responsible for medical and disability benefits for black lung disease under federal law and are insured beginning April 1, 2016 for claims made by or on behalf of any of our employees.","[11, 13]",1
arlp,2008-02,A shortage of skilled labor may make it difficult for us to maintain labor productivity and competitive costs and could adversely affect our profitability.,"[13, 14]",0
arlp,2008-02,"As a result, you should not place undue reliance on the coal reserve data included herein.",[7],0
ceix,2019-02,"If these accruals are insufficient or our liability in a particular year is greater than currently anticipated, our future operating results could be adversely affected.",[7],0
slca,2015-02,We may incur substantial debt in the future to enable us to maintain or increase our production levels and to otherwise pursue our business plan.,[12],0
vgz,2008-03,"As well, if one or more contractors is unable to fulfill its obligations in preparing the study, this could delay completion of the study and we might have to replace the contractor which would also result in delays in completion of the study.","[1, 7]",0
lode,2016-01,There is a degree of uncertainty attributable to the calculation of mineral resources and corresponding grades.,"[7, 15]",0
cmp,2013-02,A significant interruption in the supply or an increase in the price of any of these products or services could have a material adverse effect on our financial condition or results of operations.,"[9, 12, 14]",0
cmp,2021-02,We cannot provide assurances that the agreements governing our current and future indebtedness will permit us to pay dividends on our common stock.,"[0, 3]",0
mux,2020-03,We rely on contractors to conduct a significant portion of our operations and construction projects.,[14],0
cde,2021-02,"These projects can take up to several months or years to complete, are complex and require significant capital expenditures.","[1, 7]",0
hl,2010-02,Our estimates of undiscounted cash flows for each of our properties also include an estimation of the market value of the exploration potential beyond the current operating plans.,"[7, 10]",0
aumn,2022-03,"If the material mined from our Rodeo project includes higher than expected contaminants, this would result in higher treatment expenses and penalty charges that could increase our costs and negatively impact our business, financial condition and results of operations.",[9],0
scco,2008-02,"As a result of these strikes, we were forced to declare force majeure on certain of our June and July copper contracts.",[13],1
arch,2018-02,"In order to conduct our mining operations on properties where these defects exist, we may incur unanticipated costs.",[7],0
fcx,2021-02,Certain federal and state health agencies also support lower lead cleanup levels.,[2],0
vgz,2012-03,Most regulatory programs are implemented by various divisions of SEMARNAT.,[2],0
vgz,2007-03,"There is no assurance that future changes in environmental regulation, if any, will not adversely affect our projects.","[2, 12]",0
btu,2021-02,"As of December 31, 2020, we leased a total of 44,645 acres from the federal government subject to those limitations.",[13],1
hymc,2021-03,"The continued spread of coronavirus without any impact from effective vaccines or therapeutic treatments may cause further financial instability, and disruptions to our supply chain, which could increase supply costs or prevent us from procuring the supplies necessary to operate the Hycroft Mine.","[9, 12, 14]",0
slca,2013-02,"Our failure to comply with such standards, or changes in such standards or the interpretation or enforcement thereof, could have a material adverse effect on our business and financial condition or otherwise impose significant restrictions on our ability to conduct mineral extraction and processing operations.",[2],0
arlp,2019-02,"As a result, several major banks have enacted such policies.",[5],0
nem,2007-02,"Commodity costs are at times subject to volatile price movements, including increases that could make production at certain operations less profitable.","[10, 12]",0
vgz,2010-03,"Notwithstanding various actions by the U.S. and foreign governments, concerns about the general condition of the capital markets, financial instruments, banks, investment banks, insurers and other financial institutions caused the broader credit markets to further deteriorate and stock markets to decline substantially.",[0],0
usau,2022-08,"Our inability to secure surface access or purchase required surface rights could materially and adversely affect our timing, cost or overall ability to develop any potential mineral deposits we may locate.",[1],1
hl,2006-03,Our ability to expand or replace ore reserves primarily depends on the success of our exploration program.,"[1, 7, 8]",0
btu,2008-02,Market prices for coal vary by mining region and country.,[7],0
hymc,2020-03,"However, we may not be able to effectuate our initial business combination with more than one target business because of various factors, including the existence of complex accounting issues and the requirement that we prepare and file pro forma financial statements with the SEC that present operating results and the financial condition of several target businesses as if they had been operated on a combined basis.",[8],0
aumn,2016-02,"Substantial expenditures are required to: establish mineral reserves through drilling and metallurgical and other testing techniques; determine metal content and metallurgical recovery processes to process metal from the ore; determine the feasibility of mine development and production; and construct, renovate or expand mining and processing facilities.","[1, 7]",0
xpl,2012-03,"We believe the data obtained from our own exploration activities or our partners' activities to be reliable; however the nature of exploration of mineral properties and analysis of geological information is subjective and data and conclusions are subject to uncertainty from invalid data as a result of many reasons, including sample contamination, analysis variation, extrapolation, undetected instrumentation malfunctions and the use of geologic and economic assumptions.",[7],0
arch,2009-02,"In addition, uncertainty caused by federal and state regulations, including the Clean Air Act, could deter our customers from entering into long-term coal supply agreements.","[2, 12]",0
rgld,2013-08,"The December 1997 Kyoto Protocol, which has been extended to 2020, establishes a set of greenhouse gas emission targets for countries that have ratified the Protocol, which include Ghana, Australia and Peru.","[5, 12]",0
fcx,2007-02,"Upon consummation of the transaction, we and all of our restricted subsidiaries must comply with various covenants contained in our credit agreement.",[0],1
arch,2020-02,"If we fail to acquire or develop additional coal reserves, our existing reserves will eventually be depleted.","[1, 7, 8]",1
fcx,2014-02,"These other forms of assurance would be costly to provide and, depending on our financial condition and market conditions, may be difficult or impossible to obtain.",[9],0
aumn,2010-03,"Satisfying these liabilities may be very costly and could have a material adverse effect on our future cash flow, results of operations and financial condition.","[0, 9]",0
hnrg,2020-03,Certain federal income tax deductions currently available with respect to coal mining and production may be eliminated as a result of future legislation.,[15],0
arlp,2012-02,"The public has the right to comment on permit applications and otherwise participate in the permitting process, including through court intervention.",[2],0
arch,2022-02,"These and other similar unforeseen impacts that our operations may have on the environment, as well as exposures to hazardous substances or wastes associated with our operations, could result in costs and liabilities that could materially and adversely affect our business, financial condition and results of operations.","[2, 9]",0
xpl,2022-03,"Such an occurrence could adversely affect our business, future operations and financial condition.",[9],0
slca,2019-02,Diminished access to water may adversely affect our operations.,[9],0
slca,2020-02,"Additional risks and uncertainties not currently known to us or that we currently deem to be immaterial may also materially and adversely affect our stock price, business, results of operations or financial condition.","[9, 15]",0
cde,2016-02,Any failure to remedy an environmental problem could require it to suspend operations or enter into interim compliance measures pending completion of the required remedy.,"[2, 11]",1
hcc,2021-02,"If these challenges are successful, we may have to purchase met coal from third-party sources, if available, to fulfill these obligations or incur capital expenditures to re-open the mines and/or negotiate settlements with the customers, which may include price reductions, the reduction of commitments, and the extension of time for delivery or terminate customers contracts.","[4, 12]",0
ceix,2022-02,Decreases in demand for electricity and changes in coal consumption patterns of electric power generators could adversely affect our business.,"[4, 12, 14]",0
cmp,2021-02,Compliance with new governmental regulations could increase our operational costs.,"[2, 12]",1
hl,2017-02,Our business depends on finding skilled miners and maintaining good relations with our employees.,"[8, 13]",0
usau,2013-07,"In addition, several of our customers rely on credit financing in order to purchase our products.","[4, 14]",0
usau,2016-07,"In order to compete, we must attract, retain, and motivate executives and other key employees.",[8],1
slca,2019-02,"The truckload transportation industry periodically experiences a shortage of qualified drivers, particularly during periods of economic expansion, in which alternative employment opportunities are more plentiful and freight demand increases, or during periods of economic downturns, in which unemployment benefits might be extended and financing is limited for independent contractors who seek to purchase equipment or for students who seek financial aid for driving school.","[4, 14]",0
vgz,2011-03,We have entered into an agreement with the Northern Territory relating to environmental and rehabilitation issues.,[3],1
btu,2022-02,"If the Company fails to accurately estimate the future results and value of an acquired or divested business or assets and the related risk associated with such a transaction, or are unable to successfully integrate the businesses or assets it acquires, its business, financial condition or results of operations could be negatively affected.","[8, 10]",0
xpl,2013-03,We may not be able to replace that experience and knowledge with other individuals.,[8],0
hymc,2020-03,"In addition, even if we do not need additional financing to complete our initial business combination, we may require such financing to fund the operations or growth of the target business.","[1, 8]",0
fcx,2022-02,"Subsidiaries of our company currently operate 16 active tailings storage facilities (14 in the U.S. and 2 in Peru), of which 11 have an upstream design and 5 have a centerline design.",[0],0
hl,2022-02,Additional regulations or requirements also are imposed on our tailings and waste disposal areas in Alaska under the federal Clean Water Act.,[2],1
hl,2021-02,The definition of change of control in the indenture governing the Senior Notes includes a phrase relating to the sale of all or substantially all of our assets.,[0],1
uec,2020-10,The nuclear incident that occurred in Japan in March 2011 had significant and adverse effects on both the nuclear and uranium industries.,[9],0
usau,2020-07,We may be prevented from receiving goods or services from contractors.,[6],0
btu,2020-02,"During the third quarter of 2019, the Kayenta Mine shipped its final tons.","[4, 10]",0
hl,2015-02,We could also be held liable for worker exposure to hazardous substances.,[2],0
uuuu,2019-03,These regulations may require the acquisition of permits or other authorizations for certain activities.,[2],1
btu,2010-02,We cannot assure you that key personnel will continue to be employed by us or that we will be able to attract and retain qualified personnel in the future.,[8],0
amr,2022-03,"We could incur significant costs to remedy the effects of a major cybersecurity disruption in addition to costs in connection with resulting regulatory actions, litigation or reputational harm.","[11, 14]",0
hl,2015-02,We may need to refinance all or a portion of our debt on or before maturity.,[0],0
btu,2019-02,Some of these derivative trading instruments require us to post margin based on the value of those instruments and other credit factors.,[0],1
vgz,2017-02,"If we decide to construct the mine at Mt Todd, we will be assuming certain reclamation obligations resulting in a material financial obligation.",[0],0
fcx,2019-02,"As discussed in more detail in the next risk factor, we have substantial obligations for environmental remediation on mining properties previously owned or operated by Freeport Minerals Corporation (FMC) and certain of its affiliates.",[15],0
uuuu,2017-03,"In addition, due to the radioactive nature of the materials handled in uranium extraction, mining, recovery, and processing, additional costs and risks are incurred by us on a regular and ongoing basis.",[1],0
vgz,2012-03,There can be no assurance that we would be successful in overcoming these risks or any other problems encountered in connection with such acquisitions.,[1],0
scco,2016-02,"The Mexican economy is highly sensitive to economic developments in the United States, mainly because of its high level of exports to this market.",[5],0
scco,2016-02,We face competition from other copper mining and producing companies around the world.,[5],0
hl,2014-02,Hecla Limited could also face additional penalties (including monetary penalties) from MSHA or other governmental agencies relating to these incidents and any other orders or citations received by Hecla Limited.,"[2, 11]",0
arlp,2017-02,"Failure to meet these specifications can result in economic penalties, rejection or suspension of shipments or termination of the contracts.",[4],0
uec,2015-10,"In November 2010, we commenced uranium extraction for the first time at the Palangana Mine utilizing ISR and processed those materials at the Hobson Processing Facility into drums of U3O8, our only sales product and source of revenue.",[4],1
fcx,2011-02,Our obligations under our revolving credit facilities are (1) guaranteed by substantially all of our domestic subsidiaries and (2) secured by a pledge of (a) 100 percent of the equity in substantially all of our domestic subsidiaries and (b) 66.5 percent of the equity in substantially all of our first tier foreign subsidiaries.,[0],0
mux,2013-03,"Operations may be affected in varying degrees by government regulations with respect to, but not limited to, restrictions on production, price controls, export controls, currency remittance, importation of parts and supplies, income and other taxes, expropriation of property, foreign investment, maintenance of claims, environmental legislation, land use, land claims of local people, water use and mine safety.","[2, 5, 11]",0
aumn,2022-03,"Across the globe, water is a shared and regulated resource.",[2],0
usau,2020-07,This could result in delays in the commencement of potential mineral production and increased costs of production.,"[7, 12, 14]",0
btu,2018-02,"Net pension liabilities were $98.0 million as of December 31, 2017, of which none was classified a current liability.",[11],0
scco,2018-03,"If either we or our Minera Mexico subsidiary do not comply with these obligations, we could be in default under the applicable agreements which, if not addressed or waived, could require repayment of the indebtedness immediately.",[0],0
fcx,2017-02,"Forward-looking statements are all statements other than statements of historical facts, such as projections or expectations relating to ore grades and milling rates; production and sales volumes; unit net cash costs; operating cash flows; capital expenditures; exploration efforts and results; development and production activities and costs; liquidity; tax rates; the impact of copper, gold and molybdenum price changes; the impact of deferred intercompany profits on earnings; reserve estimates; future dividend payments; and share purchases and sales.","[7, 10, 15]",0
ceix,2019-02,"As a result, our results of operations, business and financial condition may be materially adversely affected.",[9],0
nc,2010-03,"Total amounts subject to these types of obligations at December 31, 2009 were $140.2 million.",[0],0
hl,2017-02,"In addition to evolving and expanding environmental regulations providing governmental authorities with the means to make claims against us, private parties have in the past and may in the future bring claims against us based upon damage to property and injury to persons resulting from the environmental, health and safety impacts of prior and current operations (including for exposure to or contamination by lead).","[2, 11]",0
hcc,2022-02,"Our inability to collect payment from counterparties to our sales contracts may materially adversely affect our business, financial condition, results of operations and cash flows.","[0, 8, 9]",0
fcx,2022-02,"Because our profits are primarily derived from our mining operations, our ability to replenish our mineral reserves is essential to our long-term success.",[9],0
rgld,2015-08,"Risks Related to Our Business Volatility in gold, silver, copper, nickel and other metal prices may have an adverse impact on the value of our royalty and stream interests and may reduce our revenues.","[4, 7, 10]",0
cmp,2011-02,"We cannot predict the size of future issuances of our common stock or the effect, if any, that future sales and issuances of shares of our common stock would have on the market price of our common stock..","[3, 6]",0
arlp,2008-02,These events are called force majeure events.,[9],0
cmp,2010-02,"Under CERCLA, or its various state analogues, one party may, under some circumstances, be required to bear more than its proportional share of cleanup costs at a site where it has liability if payments cannot be obtained from other responsible parties.",[11],0
pll,2021-09,"If the market price of our common stock declines significantly, you may be unable to resell your shares of our common stock at or above the purchase price, if at all.","[3, 4, 6]",0
hl,2014-02,"Upon the occurrence of certain kinds of change of control events specified in the indenture governing the Senior Notes, holders of the Senior Notes will have the right to require us to repurchase all of the Senior Notes at a repurchase price equal to 101% of their principal amount, plus accrued and unpaid interest, if any, to the date of repurchase.","[0, 3]",0
arch,2014-02,"Two of our operating subsidiaries intervened in the suit to protect their interests in being allowed to operate under the issued permits, and one of them thereafter was dismissed.",[3],0
hl,2017-02,"Many of the factors affecting our operating results are beyond our control, including, but not limited to, the volatility of metals prices; smelter terms; rock and soil conditions; seismic events; availability of hydroelectric power; diesel fuel prices; interest rates; foreign exchange rates; global or regional political or economic policies; inflation; availability and cost of labor; economic developments and crises; governmental regulations; continuity of orebodies; ore grades; recoveries; price speculation by certain investors; and purchases and sales by central banks and other holders and producers of gold and silver in response to these factors.","[4, 5, 10, 12]",0
mux,2013-03,"Future changes in environmental regulation, if any, may adversely affect our operations, make our operations prohibitively expensive, or prohibit them altogether.","[9, 12]",0
xpl,2008-03,We are not currently involved in mining development or operating activities at any of our properties.,"[5, 7]",0
aumn,2013-03,"Our policy is to seek to confirm the validity of our rights to, title to, or contract rights with respect to, each mineral property in which we have a material interest.",[7],1
nem,2019-02,"Our policy when receiving credible information or allegations is to conduct internal investigations and compliance reviews to evaluate that information, determine compliance with applicable anti-bribery laws and regulations and company policies and take such remedial steps as may be warranted.","[2, 5, 11]",1
rgld,2016-08,"Development and operation of mines is very capital intensive and any inability of the operators of properties where we hold stream and royalty interests to meet liquidity needs, obtain financing or operate profitably could have material adverse effects on the value of and revenue from our stream and royalty interests.","[1, 7]",0
btu,2020-02,"We could be exposed to significant liability, reputational harm, loss of revenue, increased costs or other risks if we sustain cyber-attacks or other security breaches that disrupt our operations or result in the dissemination of proprietary or confidential information about us, our employees, our customers or other third-parties.","[9, 11, 12]",0
mux,2020-03,"If the revised plan and reserve estimate results in material changes to our production and related cash flow from Gold Bar in 2020, we may be forced to curtail, defer or suspend operating expenditures and/or raise capital through outside financing such as additional debt or equity.","[1, 3, 7]",0
usau,2011-07, WE FACE COMPETITION FROM DRAM MANUFACTURERS.,[4],0
cmp,2009-02,"If the lenders under our senior secured credit facilities would require immediate repayment, we would not be able to repay them and also repay our other indebtedness in full.",[0],0
rgld,2015-08,"If our board of directors declines or is unable to declare dividends in the future or reduces the current dividend level, our stock price could fall, and the success of an investment in our common stock would depend largely upon any future stock price appreciation.","[3, 6]",0
fcx,2019-02,"As such, our corporate policies and processes may not prevent or detect all potential breaches of law or other governance practices.","[6, 11]",0
cmp,2011-02,"Our salt mines located in Cote Blanche, Louisiana, and Goderich, Ontario, Canada, constitute approximately 75% of our total salt production capacity.",[14],0
hcc,2020-02,"We have begun to incorporate these new requirements into our current permit applications; however, there can be no guarantee that we will be able to meet these or any other new standards with respect to our permit applications.",[2],0
hl,2020-02,"Unless they are guarantors of the Senior Notes or our other indebtedness, our subsidiaries do not have any obligation to pay amounts due on the Senior Notes or our other indebtedness or to make funds available for that purpose.",[0],0
cmp,2019-03,"If these customers are unable to repay the trade credit from us or financing from their financial institutions, the results of our operations could be adversely affected.",[0],0
scco,2008-02,"We cannot assure you that we will be able to maintain our production levels to generate sufficient cash, or that we have access to sufficient financing to continue our exploration, exploitation and refining activities at or above present levels.",[1],0
nc,2020-03,"A decrease in coal consumption by the Companys customers could have a material adverse effect on the Companys business, financial condition and results of operations.","[4, 9]",0
cde,2008-02,"On November 14, 2007 the Ninth Circuit granted a stay of the mandate pending further appeal to the Supreme Court, subject to the development of a reclamation plan for the lake area.",[11],0
cde,2007-02,"While it is our practice to engage independent mining consultants to assist in evaluating and making acquisitions, any mining properties or interests therein we may acquire may not be developed profitably or, if profitable when acquired, that profitability might not be sustained.","[1, 7, 8]",0
aumn,2012-03,"Results from our Velardena Operations are subject to exchange control policies, the effects of inflation and currency fluctuations between the U.S. Dollar and the Mexican Peso.",[5],0
uuuu,2022-03,"There can be no assurance that our future exploration, construction, development and acquisition efforts will be successful in replenishing our Mineral Resources or finding or developing Mineral Reserves.","[1, 8]",0
mux,2022-03,"In addition, shareholders may not be able to commence an action in a Canadian court predicated upon the civil liability provisions under United States federal securities laws.","[2, 11]",0
cmp,2012-02,Natural gas is a primary fuel source used in the evaporated salt-production process.,"[12, 14]",0
fcx,2015-02,Operations in the Deepwater GOM present greater operating risks than operations in the shallower waters or onshore.,[9],0
arlp,2008-02,"This is because our managing general partner can exercise significant influence over our business activities, including our cash distribution policy, acquisition strategy and business risk profile.","[6, 8]",0
lode,2021-03,"If our business plan is not successful and we are not able to operate profitably, then our securities may become worthless and investors may lose all of their investment in our Company.","[1, 3]",0
slca,2013-02,"For instance, there are proposed regulations reducing water rights per acre for the aquifer accessed by our Mill Creek, Oklahoma facility.","[2, 12]",0
scco,2018-03,The Company believes that it is not possible to determine the extent of the damages sought and considers the lawsuits without merit.,[11],0
aumn,2006-03,"In the event of a subsidiary's liquidation, we may lose all or a portion of our investment in that subsidiary.",[0],0
hl,2021-02,"Generally, it is not feasible to review in depth every individual property involved in each acquisition.",[8],0
arlp,2018-02,"Transportation costs represent a significant portion of the total cost of coal for our customers and, as a result, the cost of transportation is a critical factor in a customer's purchasing decision.","[12, 14]",0
mux,2015-03,"The Province has not disputed this interpretation but has not provided further clarification on the definition of ""measured"" reserves, and the outcome is not clear at the time.",[11],0
fcx,2016-02,"If these expenditures are delayed or deferred for technical, financial or any other reasons, we may be forced to curtail production at the Miami smelter, which would require us to export concentrate rather than process it ourselves and to purchase sulphuric acid that would otherwise be generated during the smelting process, which would result in increased production costs.","[7, 14]",0
arlp,2011-02,The estimates of our coal reserves may prove inaccurate and could result in decreased profitability.,"[1, 4, 7]",0
aumn,2018-03,"Reliable roads, bridges, power sources and water supply are important factors that affect capital and operating costs and the feasibility and economic viability of a project.","[1, 7, 12, 14]",0
arlp,2022-02,"At December 31, 2021, our total of such bonds was $254.5 million.",[0],0
nem,2019-02,The Central Government of Peru continued to support responsible mining as a vehicle for the growth and future development of Peru in 2018.,[5],0
