tag_names,sentence
customer_orientation,"The fact that that's a better product than the customer requires, there's not much they can do about it."
customer_orientation,"It's able to buy third-party tonnes, blend down the higher-quality product and take advantage by buying in the cheaper product, which can be blended in and, therefore, making a margin on that business."
customer_orientation,"It's also able to substitute Russian tonnes to deliver to a customer, et cetera, and take its own tonnes to a higher price -- or a vessel which is going to a higher-priced customer."
customer_orientation,"It's able to play around and use its smelters for a better advantage, whereby you don't need to supply high concentrate -- high-quality concentrate into a smelter then can get a price advantage by taking a higher concentrate -- higher-quality concentrate and get a premium where the particular customer requires it, and put a lower-quality third-party concentrate through its smelters."
shareholder_affiliation,It goes to the Glencore shareholders and Xstrata shareholders.
customer_orientation,This is not a company that has developed overnight and the marketing business is new and it may have a bad year or good year.
"customer_orientation, shareholder_affiliation","However, Glencore, for 37 years in its marketing business, has built relationships with suppliers and consumers around the world, and we have always made a profit in the marketing business."
customer_orientation,"So we've always averaged, on the marketing business alone, between a 35% to 60% return on equity."
customer_orientation,"And even if you look in -- as I mentioned at the beginning of our presentation, in 2011, the marketing business still gave a 35% return on equity."
taxes,"Well, the thing with taxes is that there is a time lag between paying tax and charging tax to the income statement."
"customer_orientation, taxes","And in a period with increasing prices and gradually stronger results, we pay tax that is related to last year which had a lower profit and we charge tax related to this year on the income statement which is then a higher profit level."
taxes,"And given the expected usage for 2021 and kind of how we look at '22, frankly, we expect that those NOLs will continue to last for at least the next half a dozen to 10 years and potentially longer, and so still find ourselves in a very fortunate position on the tax side, where we don't expect cash taxes anytime in the near future."
"customer_orientation, shareholder_affiliation","But we have been very clear in our communications that we intend to maximize the cash flows from all of our assets and coal, minerals at this point in time and looking for opportunities to continue to grow the business in the future either through additional transactions long term on the minerals side or looking at other potential parts of the energy business to invest those cash flows."
taxes,"So, Kalana is not audited given that it's not in operation, so there is no particular tax angle."
